rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
2,base,graphql-validation (AS),5,99,36513692.08080808,85283017.50505051,19.946868686868687,1.0
3,base,graphql-validation (AS),5,98,36608047.89795918,85314558.8265306,19.97489795918367,1.0
4,base,graphql-validation (AS),5,97,37223819.75257732,85316811.50515464,20.336288659793812,1.0
5,base,graphql-validation (AS),5,98,36685033.510204084,85301708.36734694,20.042346938775513,1.0
1,pr1,graphql-validation (AS),5,101,35399611.10891089,82099602.36633663,19.336138613861387,1.0
2,pr1,graphql-validation (AS),5,100,35998059.78,82205667.83,19.6663,1.0
3,pr1,graphql-validation (AS),5,103,35290437.9223301,82140193.6407767,19.277961165048545,1.0
4,pr1,graphql-validation (AS),5,102,35677889.01960784,82160828.99019608,19.484901960784313,1.0
5,pr1,graphql-validation (AS),5,100,36016953.99,82206125.21,19.673099999999998,1.0
1,pr2,graphql-validation (AS),5,103,34439721.42718446,80319748.99029127,18.815048543689322,1.0
2,pr2,graphql-validation (AS),5,103,34669782.02912621,80325235.78640777,18.934174757281554,1.0
3,pr2,graphql-validation (AS),5,105,34604387.07619048,80290229.84761904,18.904666666666667,1.0
4,pr2,graphql-validation (AS),5,100,34667458.66,80387698.18,18.9327,1.0
5,pr2,graphql-validation (AS),5,102,34557286.3627451,80339226.1764706,18.877058823529413,1.0
1,pr3,graphql-validation (AS),5,105,34284222.91428571,78775679.78095238,18.72847619047619,1.0
2,pr3,graphql-validation (AS),5,104,34275578.23076923,78800405.6826923,18.697980769230767,1.0
3,pr3,graphql-validation (AS),5,107,33608265.36448598,78766588.3457944,18.356448598130843,1.0
4,pr3,graphql-validation (AS),5,106,34180261.943396226,78856246.0754717,18.673396226415097,1.0
5,pr3,graphql-validation (AS),5,104,34755347.067307696,78793399.08653846,18.978076923076923,1.0
1,ub,graphql-validation (AS),5,107,33732726.95327103,78341841.26168224,18.423457943925232,1.0
2,ub,graphql-validation (AS),5,107,34150576.44859813,78344171.73831776,18.654766355140186,1.0
3,ub,graphql-validation (AS),5,107,33596405.1682243,78342249.14018692,18.351869158878504,1.0
4,ub,graphql-validation (AS),5,107,33913863.11214953,78349549.3364486,18.50429906542056,1.0
5,ub,graphql-validation (AS),5,106,33882102.858490564,78438353.5471698,18.50754716981132,1.0
1,base,graphql-validation (Porffor),0,117,31139616.085470084,64834156.025641024,14.26965811965812,1.0
2,base,graphql-validation (Porffor),0,116,31111608.336206898,64787731.37931035,14.356379310344828,1.0
3,base,graphql-validation (Porffor),0,118,30864022.83898305,64744683.79661017,14.212457627118644,1.0
4,base,graphql-validation (Porffor),0,118,31033883.440677967,64771009.10169491,14.23177966101695,1.0
5,base,graphql-validation (Porffor),0,117,30843040.76068376,64678675.299145296,14.253931623931624,1.0
1,pr1,graphql-validation (Porffor),0,118,30134536.5,62377368.279661015,13.774576271186442,1.0
2,pr1,graphql-validation (Porffor),0,121,30027608.669421487,62342624.31404959,13.78305785123967,1.0
3,pr1,graphql-validation (Porffor),0,121,30096303.454545453,62452062.84297521,13.718429752066116,1.0
4,pr1,graphql-validation (Porffor),0,119,29887120.81512605,62308494.310924366,13.717815126050422,1.0
5,pr1,graphql-validation (Porffor),0,120,30236524.758333333,62449581.06666667,13.813083333333333,1.0
